ID,Nombre2,PAIS,FUENTE,Fecha,HORA,MES_COLECTADO,ELEVACION,LATITUD,LONGITUD,TIPO,CLASE,COMENTARIOS,Conductivity,d18O,d2H,d-excess,H3,Precipitation,TempAir,TempWater,Vp
1961d9fc-8485-404f-a442-73280268096c,MANAUS,BR,GNIP - Monthly,15/05/1976,0:00:00,5,72,-3.12,-60.02,Precipitation,Rain,,,-3.59,-10.7,-7.11,7.1,89,26.5,,28.1
19652de1-2663-46d8-9c46-efa54bd704be,IZOBAMBA,EC,GNIP - Monthly,15/10/1999,0:00:00,10,3058,-0.37,-78.55,Precipitation,Rain,,,-9.53,-66,-56.47,,106.2,11.9,,
19787d52-f16f-410d-bba0-9d9ea7bd069d,MANICORE,BR,GNIP - Events,15/11/1989,0:00:00,11,49,-5.8,-61.27,Precipitation,Rain,,,-10.37,-67.8,-57.43,,166,,,
197f1f3b-6f7d-4244-9dfa-4799c38138f0,CAMPO GRANDE,BR,GNIP - Events,15/02/1990,0:00:00,2,572,-20.47,-54.67,Precipitation,Rain,,,-5,-35.6,-30.6,,,,,
19893fe9-791b-4488-be52-84b86269040b,BELEM,BR,GNIP - Monthly,15/08/1978,0:00:00,8,24,-1.43,-48.48,Precipitation,Rain,,,-1.2,6.4,7.6,5,171,26,,31.3
198b32d1-91dd-46d3-8541-b7427654ff88,SAO GABRIEL,BR,GNIP - Events,15/04/1990,0:00:00,4,87,-0.13,-67.08,Precipitation,Rain,,,-1.43,2,3.43,,92,,,
199245f9-d2c7-4c92-b0f5-4e6a27403bc7,CAYENNE (FRENCH GUIANA),GF,GNIP - Monthly,15/08/1975,0:00:00,8,8,4.83,-52.37,Precipitation,Rain,,,-2.92,-11.8,-8.88,5.5,237,25.2,,27.8
19926929-ba98-4a48-b851-64ac51e11f6b,BRASILIA (AIRPORT),BR,GNIP - Monthly,15/02/1973,0:00:00,2,1061,-15.85,-47.93,Precipitation,Rain,,,-2.37,-7.6,-5.23,14.6,185,22.1,,19.4
199d4f7c-dbf8-4a69-9eed-f0bf7d58590f,QUITO-INAMHI,EC,GNIP - Monthly,15/12/2006,0:00:00,12,2789,-0.166666667,-78.48333333,Precipitation,Rain,,,-11.19,-81.62,-70.43,,,15.8,,12.3
19b3d69b-8a86-48c3-b3bc-17498970d831,RIO BRANCO,BR,GNIP - Events,15/12/1989,0:00:00,12,136,-9.98,-67.82,Precipitation,Rain,,,-5.29,-27.9,-22.61,,44,,,
19b6ce64-637f-4b1d-a9bb-71e1cf9304d9,BELLAVISTA (GALAPAGOS IS.),EC,GNIP - Monthly,15/09/2001,0:00:00,9,194,-0.694444444,-90.325,Precipitation,Rain,,,-1.44,-1.3,0.14,0.93,66.1,19.1,,20.9
19b89285-ca87-443e-a1f7-740aa531c985,UAUPES,BR,GNIP - Monthly,15/01/1979,0:00:00,1,74,-0.121944444,-67.14916667,Precipitation,Rain,,,-1.6,-1,0.6,,203.9,,,
19bfd09f-f894-440b-baff-174ff85c77ca,SALVADOR (ONDINA),BR,GNIP - Monthly,15/07/1973,0:00:00,7,45,-13,-38.52,Precipitation,Rain,,,-0.65,8,8.65,7.2,225,24.4,,23.4
19cc3691-6c56-4d27-be81-8d60b4ad0640,CUIABA,BR,GNIP - Monthly,15/07/1985,0:00:00,7,165,-15.6,-56.1,Precipitation,Rain,,,-5.5,-35,-29.5,,6,23.3,,18.3
19e87900-3030-41ad-a726-43b7efbc99e0,BRASILIA (AIRPORT),BR,GNIP - Events,15/01/1990,0:00:00,1,1061,-15.85,-47.93,Precipitation,Rain,,,-6.79,-44.1,-37.31,,254,,,
19e9d525-d126-4533-ad94-6410ca1da591,LEBRIJA - Majadas,CO,GNIR - Time series,4/6/2005,0:00:00,6,760,7.159166667,-73.10083333,Surface waters,Surface Water - flowing,,143,-9.22,-61.6,-52.38,,,,20.4,
19f1e52d-ef5f-4745-8869-23146bdb74c0,SAO LUIS,BR,GNIP - Events,15/08/1989,0:00:00,8,35,-2.6,-44.23,Precipitation,Rain,,,-1.45,0,1.45,,55,,,
